op_name, stream_id, start_time(ms), duration(ms)
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614296.42568,0.00109
Default/AtomicAddrClean-op28,4,3189614296.42689,0.00118
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614296.42818,0.0011
Default/Mul-op7,4,3189614296.42939,0.00111
Default/AtomicAddrClean-op29,4,3189614296.43061,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614296.43191,0.00119
Default/AtomicAddrClean-op30,4,3189614296.43321,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614296.43451,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614296.43578,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614296.43712,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614298.16019,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614298.16469,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614298.16599,0.00109
Default/AtomicAddrClean-op28,4,3189614298.16719,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614298.16844,0.0011
Default/Mul-op7,4,3189614298.16965,0.00115
Default/AtomicAddrClean-op29,4,3189614298.17092,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614298.17221,0.00119
Default/AtomicAddrClean-op30,4,3189614298.17352,0.00117
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614298.17481,0.00118
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614298.17611,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614298.17744,0.00119
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614299.8332,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614299.83771,0.00121
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614299.83903,0.00108
Default/AtomicAddrClean-op28,4,3189614299.84022,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614299.84148,0.00107
Default/Mul-op7,4,3189614299.84266,0.0011
Default/AtomicAddrClean-op29,4,3189614299.84387,0.00119
